Road No.,Road Name,Traffic (AADT)
R141,Lalmai-Laksham-Sonaimuri Road,5948
R755,Jessore (Rajarhat)-Monirampur-Keshabpur-Chuknagar Road,4765
R114,Nayapur-Araihazar-Narsingdi-Raipura Road,4896
N107,Kalurghat-Maneswartek Road,5666
R282,Juri-Lathitila Road,3123
N713,Kushtia Town Bypass Road,14170
R317,Toke Bazar-Banar Toke Ferry Ghat,6134
R556,Mithapukur-Shahebganj-Maddahpara-Fulbaria Road,4274
R203,Bhulta-Araihazar-Bancharampur-Nabinagar-Shibpur-Radhika Road,3091
R749,Darsana-Mujibnagar Road,6274
N404,Tangail Old Section (Nagarjalpai-Baila) Road,12690
N510,Bogra Station Road,12826
R851,Gopalganj Bus Terminal Link Road,3989
N2,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218
N210,Sylhet Town Bypass Road (Khadim-Paraichak),19136
R822,Sreenagar Upazilla-UNO Office,5424
N501,Mirpur Bridge-Dhour Road,11346
R247,Shahi Eidgaon - Kumarpara Road,6758
R364,Battoli at R360-Kishoreganj Road,7602
R570,Sayedpur-Nilphamari Road,9383
R212,Akdaria (C&B Bazar)-Shekher Bazar-Puradia-Agarpur Road,1871
R547,Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road,3758
N806,Bhatiapara-Kalna-Lohagara-Narail-Jessore Road,5232
N309,Mymensingh Town By-Pass Road,6383
N702,Jessore (Daratana More)-Magura (Vaina More) Road,6731
R605,Sujangar-Lalan Shah Bridge Approach Road,3968
R711,Rajbari (Bagmara)-Joukura Ferryghat Road,4490
R303,Tongi By-Pass Road,23157
R220,Sarail-Nasirnagar-Lakhai-Habiganj Road,5017
N803,Faridpur Town Old Section (Alipur-Faridpur-SS Ghat) Road,8338
R810,Postagola-Chasara Road,15455
N204,Jagadishpur-Chunarughat-Shaistaganj (old part),2628
R681,Ujanpara-Bijoynagar Road (Old Part),2555
N504,Nagarbari (Pratappur)-Kashinathpur Road,6489
R891,Bhola (Illisha Junction)-Illisha Road,2634
R162,Rangamati (Manikchhari)-Mohalchhari-Khagrachhari Road,1100
N707,Jessore Town Old Section (Palbari-Daratana-Monihar-Murali),12499
N518,Sayedpur Town Old Section (Sutkir More-Sonapukur),10624
N124,Mithachara Old Section Road,0
N102,Comilla (Mainamati)-Brahmanbaria (Sarail) Road,9414
N509,Barabari-Lalmonirhat-Burimary Road,5514
R587,Thakurgaon Town Old Section (Bus Stand-Railway Station),20991
N602,Natore Town Old Section Road,19662
N209,Sylhet Railway Station By-Pass Road,19136
R144,Laksam Old Section,5961
R880,Patuakhali-Amtali-Barguna-Kacchira Road,4697
R111,Signboard at 6th km of N1Road-Narayanganj Road,18068
N515,Bogra 2nd Town By-Pass Road,4440
N401,Madhupur-Mymensingh Road,4795
N129,Kumira Old Section Road,0
R801,Chasara-Jurain-Kamalapur Road,15455
N540,Nabinagar-EPZ-Kaliakoir (Chandra) Road,8367
N7,Dauladia-Faridpur (Goalchamot)-Magura-Jhenaidah-Jessore-Khulna-Mongla (Digraj) Road,9325
R312,Rajendrapur Chourasta-Kapasia-Toke-Motkhola Road,4511
R506,Aricha (Barangail)-Ghior-Daulatpur-Tangail Road,2383
R370,Mymensingh (D.C Office)-Raghurampur-Netrokona-Mohonganj-Jamalganj-Sunamganj Road,8726
R315,Mawna-Fulbaria-Kaliakoir-Dhamrai-Nabinagar (Dulivita) Road,3603
R201,Tarabo-Demra Road,17676
N406,Kaliakoir Town Old Section,16456
N119,Chandina Town Old Section,5533
N212,Tamabil Landport Connecting Road,19136
N809,Barishal-Laherhat-Veduria-Bhola-Illisha-Maju Chowdhuryhat-Lakshmipur Road,1754
R548,Naogaon-Atrai-Natore Road,4031
R143,Maijdi-Rajganj-Chayani-Basurhat-Chandraganj Road,4357
R248,Ambarkhana - Shahidgaon - M. C. College - Tilagar Road,6758
R760,Khulna-Chuknagar-Satkhira Road,10088
R280,Sylhet-Sunamganj Road,6991
N105,Madanpur (13th Km of N1)-Joydevpur(3rd Km of N4),11138
N711,Benapole Town Old Section,14170
N605,Rajshahi Greater Road,8643
N123,Baraiyerhat-Joraganj Old Section Road,0
R771,Rupsha-Fakirhat-Bagerhat Road,3127
R746,Meherpur-Mujibnagar (BRD Camp) Road,7013
R152,Heako-Ramgarh-Jaliapara Road,0
R713,Charikoal at R710-Shilahdah Link Road,2920
N203,Bhairab Bazar Old Ferryghat link Road,0
R820,Zinzira-Keraniganj-Nawabganj-Dohar-Srinagar Road,5000
N503,Utholi-Aricha Road,3258
N108,Keranirhat-Bandarban Road,5533
N804,Bhanga-Faridpur (Goalchamot) Road,5957
R545,Bogra-Naogaon-Mohadebpur-Patnitala-Dhamoirhat-Joypurhat Road,7097
R210,Shahepratap-Narsingdi Road,9831
R451,Nalka-Sirajganj Road,8550
R743,Jibannagar-Duttanagar Road,0
R160,Hathazari-Fatikchhari-Manikchhari-Matiranga-Khagrachhari Road,3435
R602,Nazirganj at R601 to Nazirganj Ferry Ghat Road,2426
N8,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678
R480,Elenga-Bhuanpur (Char Gabsara) Road,4161
N705,Paksey (Ruppur)-Iswardi-Dasuria Old Section,4632
N126,Komoldoho Old Section Road,0
N111,Chittagong Port Connecting Road,6275
R240,Shaistaganj-Habiganj-Nabiganj-Sherpur (Auskandi) Road,4505
R301,Tongi-Kaliganj-Gorashal-Pachdona Road,11510
N801,Barishal-Bhola Link Road,0
R222,Shaistaganj(Puranabazar)Laskarpur Railgate link Road,5017
N206,Keean Bridge-Nayarpool Road,7692
R812,Fatullah (Panchaboti)-Munshiganj (Muktarpur)-Lohajang-Mawa Road,8194
N506,Rangpur-Barobari-Kurigram Road,7064
R870,Barisal-Jhalokati-Rajapur-Bhandaria-Pirojpur Road,3866
R861,Monohar Bazar More -Shariatpur(Premtola) Road,5449
N520,Ullapara Town Link Road,10624
N517,Rangpur Town Old Section (Modern More-Medical More) Road,7929
N403,Mirzapur Town old Section Road,4899
N5,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913
N708,Jessore Town Old Section alternate Road (Palbari-Board office-Monihar),6242
N303,Charkhai Bazar Link Road,28352
R310,Joydebpur-Gazipur-Azmatpur-Itakhola Road,8922
R251,Golapganj-Dhaka Dakhin-Baraigram-Vadeswar Road,8553
R504,Hemayetpur - Singair - Manikgonj,4297
R372,Shambhuganj-Puratan Ferry Ghat Road,6305
R585,Gobindagnj-Goraghat-Birampur-Fulbari-Dinajpur Road,6201
R171,Banshkhali (Charati)-Chunti Road,1813
R146,Wireless More (Intersection with R140)-Illisha Chattar Road,5961
R113,Madanpur-Madanganj-Sayedpur Road,5761
R765,Navaran-Illishpur- Satkhira road,5055
R180,Laharpur-Jhinukmarket-Laboni More Road,13025
N205,Chandipool-Keean Bridge Road,2628
N505,Baderhat-Kazirhat (Latifpur) Road,6489
R360,Mymensingh (Raghurampur)-Kishoreganj (Battali)-Bhairab (Bazar) Road,4103
R460,Jamalpur-Sherpur-Bangaon Road,4392
R302,Kaliganj Bazr Road,6201
R543,Mohadebpur Bypass Road,4261
N802,2nd Buriganga Bridge Approach Road to National Highway N8,8338
R221,"Muktijoddha Commandant Manik Chowdhury Road (Kamrapur, Habiganj-Nasratpur)",5017
N706,Jessore (Daratana More)-Benapole Road,8271
N519,Shahid Ziaur Rahman Medical College Connecting Road,10624
N112,Feni-Noakhali Highway Link Road,6275
N125,Bartakia Old Section Road,0
R890,Bhola (Paran Talukderhat)-Burhanuddin-Lalmohon-Char Fassion-Char Manika Road,4094
R163,Chittagong (Mohora)-Chandragona Road,7016
R601,Pabna-Sujanagar-Natakhola Ferry Ghat (Baderhat) Road,5006
R145,Lashmipur Town Old Section,5961
R172,Chokoria-Baderkhali Road,3298
R110,Jatrabari-Demra-Shimrail-Narayanganj (Chasara) Road,15309
R881,Amtali-Khepupara-Kuakata Road,2638
N103,Brahmanbaria Town Portion (Kuatali-Ghaturia),26699
N508,Beldanga-Dinajpur Road,3187
R586,Fulbari Bus Stand-Dinajpur Govt. College Road,8215
N603,Rajshahi Town By-Pass Road,8643
N208,Moulvibazar-Rajnagar-Fenchuganj-Sylhet Road,7665
R313,Mawna-Sripur-Gusinga-Kapasia-Aral-Sammania-Hitirdia-Monohardi (Hetemdi) Road,1471
R371,Mymensingh (Raghurampur)-Phulpur-Nakla-Sherpur Road,5266
N514,Bogra (Banani)-Matidali Road,17129
N128,Sitakunda Old Section Road,0
N6,Kashinathpur-Dasuria-Natore-Rajshahi-Nawabganj-Kansat-Sona Masjid-Baliadighi Border Road,6899
N106,Chittagong-Hathazari-Rangamati Road,6706
R283,Sylhet-Sunamganj Bypass Road (3rd Hazrat Shahajalal Bridge Approach Road),3078
N712,jhenaidaha bus terminal-Arappur intersection-Alhera busstand,8580
R140,Comilla-Lalmai-Chandpur-Lakhmipur-Begumganj Road,8032
N405,Elenga-Nalka-Hatikamrul Road (Nalka-Hatikamrul RHD Part),16456
R850,Tekerhat-Gopalganj (Haridashpur Bridge)-Mollahhat (Gonapara) Road,5046
N511,Mirpur (Birulia)-Ashulia (Yearpur) Road,12826
N3,Dhaka (Banani)-Joydebpur-Mymensingh Road,18755
N211,Shah Mostafa (Beripar-Moulvibazar Court Road) Road,19136
R316,Kapasia Bazar Old Part,2337
R557,Madhypara-Badarganj Road,3426
R202,Bhulta-Rupganj-Kayetpara-Rampura Road,4052
R560,Paglapir-Dalia-Tista Barrage Road,9413
R748,Chuadanga-Darsana-Jibannagar-Kotchchandpur-Kaliganj Road,4340
R546,Railgate-Shantahar Road,7023
R814,R812 to Muktarpur Ferryghat Link Road,9877
R685,Rajshahi (Bindur More)-Nawhata-Chowmasia Road,10335
R745,Kushtia (Trimohoni)-Maherpur-Chuadanga-Jhenaidah Road,6242
R772,Bagerhat Town Section (Bus Stand-Basabati) Road,4536
R151,Baraiyerhat-Karerhat-Heako-Narayanhat-Fatikchhari (Haidchokia) Road,2328
R604,Tebunia-Chatmohor-Handial-Hamkuria Road,3968
R710,Ahaladipur-Rajbari-Pangsha-Kumarkhali-Kushtia (Chourhash) Road,5414
N703,Jhenaidah Town Old Section,6060
N120,Comilla Town Old Section,6275
N408,Korotia Bazar Portion Road,16456
N704,Jhenaidah-Kushtia-Paksey Ferry-Dasuria Road,10324
N127,Choto Darogarghat Old Section,0
N110,Link Road(at N1)-Cox`s Bazar (Laboni More) Road,6275
R720,Magura-Narail Road,3095
R603,Pabna-Paksey Nadi Bandar (EPZ) Road,4619
R161,Rangamati (Ghagra)-Chandragona-Bangalhalia-Bandarban Road,2089
N207,Mirpur-Srimongal-Moulavibazar-Sherpur Road,5329
R813,Muktarpur Ferry Ghat to Munshiganj Road,7586
N507,Hatikamrul-Banpara Road,5254
R682,Rajshahi-Nawabganj Road Old Section,0
R241,Auskandi-Raniganj-Jagannathpur-Pagla Road,1750
R550,Mokamtala-Kalai-Joypurhat Road,6162
R311,Joydebpur (BARI More)-Ordinance Factory (Shahid Zaman Road),7569
R250,Sylhet-Golapganj-Charkhai-Jakiganj Road,5183
R860,Mostafapur-Madaripur-Shariatpur (Monohar Bazar)-Ibrahimpur-Harina-Chandpur (Bhatialpur) Road,3352
N516,Naogaon Town By-Pass Road,5478
N402,Nakla-Nalitabadi-Nakugaon Road,4795
R802,Majina-Kayetpara-Trimohini Link Road,15455
N4,Joydebpur-Tangail-Jamalpur Road,19183
N709,Khulna City By-Pass Road,12352
N302,Tongi-Ashulia-Zerabo-EPZ Road,26940
R170,Patiya-Anowara-Banshkhali-Toitong-Pekua-Badarkhali-Chokoria (Eidmoni) Road,5931
R147,Lakshmipur Town Bridge-Tero Baki Road,3191
R112,Narayanganj (Signboard)-Demra-Amulia-Rampura Road,5761
N101,Comilla - Bibirbazar Land Port Connecting Road,9708
N715,Alipur - Bhomra Landport Connecting Road,14170
N407,Korotia-Bangra Road,16456
N513,Baderhat-Khayerchar Road,17439
N213,Asugonj River port Connecting Road,19136
N1,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871
R314,Mawna-Bormi-Gafargaon Road,1992
R555,Palashbari-Gaibandah Road,9806
R281,Rajnagar-Kulaura-Juri-Baralekha-Bianibazar-Sheola-Charkhai Road,4375
N104,Feni-Noakhali Road,9140
N710,Khulna Town Old Section (Ferryghat-Dakbangla More),12352
N604,Pabna Town Old Section (Bus Stand-Gachpara) Road,12588
R549,Badalgachhi-Paharpur-Joypurhat (Khanjanpur) Road,2464
N808,Faridpur Town By-Pass,4664
R142,Begamganj-Sonaimuri-Ramganj Road,4783
R249,Chowhatta - Kumarpara-Naiorpul Road,6758
R120,Akhaura Town By-Pass Road,5330
R770,Noapara-Bagerhat-Pirojpur Road,5427
R747,Kustia(Bottoli)-Poradah-AlamDanga-Chuadanga Road,4364
R164,Baraichhari-Kaptai Road,2212
R712,Tottipur at R771-Machpara Link Road,3268
R558,Maheshpur at R556 to Barapukuria Road,1984
N701,Daulatdia Ferryghat by-pass Road,6731
R544,Santahar Atrai Road,4261
N805,Bhanga-Bhatiapara-Mollahhat-Fakirhat-Noapara Road,4917
R211,Itakhola-Motkhola-Kotiadi Road,3592
R450,Jamuna Bridge (Saidabad)-Sirajganj Road,8550
R821,Sreenagar Bazar Bypass,5424
N502,Bogra (Jahangirabad)-Natore Road,6620
N109,Ramu Old Section (Ramu Hospital-Khalekuzzaman Chattar)Road,5533
